82.3483 129.6328 158.9000 87.3213 67.8104 68.4970 69.2317 70.0928 71.3006 70.6431 70.1140 68.6279 67.7013 67.0353 67.2491 68.7500 71.2418 73.9371 69.4923 73.4860 80.5124 84.3567 85.9432 85.9824 85.6099 86.8774 90.5084 94.0493 96.3931 97.9778 98.9957 99.6495 100.7454 102.7387 101.6227 99.6476 97.5346 95.3163 92.1987 88.2327 83.2488 78.0611 76.4948 76.1638 74.4379 73.0334 72.4112
81.0919 75.1937 80.6816 77.3450 70.3443 70.5703 71.4032 71.2613 74.2948 73.1324 72.2684 68.0542 65.4857 64.8608 67.3981 70.8075 72.6033 77.3865 74.8644 80.9242 86.3567 88.4804 88.9109 88.9319 89.1227 92.1560 96.1640 98.5304 99.2809 100.8181 101.8865 101.3298 104.4324 108.7539 106.5814 102.3726 99.0009 95.5848 92.5089 88.9169 85.2841 82.9011 79.6198 78.3223 76.9101 75.0847 73.2531
76.2607 74.0188 83.5997 74.6093 70.3679 71.3601 70.8223 70.9978 72.6544 72.5611 71.1431 67.8110 64.9397 64.1475 68.0081 73.0307 75.4466 83.3437 80.5607 85.4053 88.8433 90.6150 92.1821 93.1709 95.1292 97.9684 100.3131 102.2537 103.0929 105.0985 105.4914 105.9291 109.5458 113.8463 109.9644 103.4541 96.8054 93.6661 89.6094 85.1102 82.7149 82.7008 79.3706 80.5034 79.7235 77.4638 74.8820
77.1043 75.9000 86.2328 78.1499 70.2719 71.0302 71.0607 70.8286 71.0882 69.9937 68.1351 66.7709 66.9455 68.2256 70.9636 77.2549 79.2514 86.5475 83.5912 88.4162 91.5960 94.0207 96.0291 99.4855 100.8330 102.2866 104.1311 105.3450 106.3481 108.0599 107.9787 108.1472 112.0619 114.7743 110.5497 99.6704 92.3131 87.5093 81.9334 80.8433 78.5166 79.3836 81.0599 81.6246 81.7769 80.4824 77.5202
83.4752 79.2981 90.0164 78.9259 74.0211 69.8778 78.4511 70.1590 70.7427 73.7145 73.3920 67.7123 68.6030 71.7539 73.9716 77.6642 82.9220 87.9083 88.5823 91.6109 94.1688 96.1769 100.7399 104.5386 104.3812 105.6494 107.1181 107.5010 108.1653 109.0069 108.0447 107.0197 110.9461 112.6126 108.5740 93.5571 86.5494 81.9832 78.7555 77.3726 77.5985 79.0252 82.7503 84.5874 84.4909 83.2285 79.8641
77.9856 78.9441 86.4026 79.0237 79.7859 71.6876 74.7443 70.2115 65.0341 71.5934 94.4192 89.2803 87.3457 80.2477 79.0391 83.7719 87.9248 90.1887 91.8116 92.7663 95.1564 99.0781 103.0219 105.3664 105.7677 106.0198 107.7637 108.4882 108.7339 109.1268 107.0857 107.1074 110.5466 112.9384 106.2867 90.1657 85.9290 81.4528 79.1862 78.7982 79.4450 80.5831 82.3147 86.3264 87.5417 84.6484 80.5128
77.4684 79.1553 79.7699 75.5655 75.9725 71.9057 73.6353 73.1904 68.4187 76.9109 90.2483 96.2871 100.5809 80.1365 85.9906 88.8699 90.9448 92.8746 95.7906 95.0281 97.0817 101.9485 106.6812 107.7544 108.0941 107.2968 108.1305 108.9733 108.8547 108.2920 107.0363 110.3410 112.8241 98.9919 101.8499 91.7160 89.3413 85.2727 83.1413 82.8849 83.8017 83.7698 81.7886 83.6546 86.1028 83.7107 79.6195
77.7196 79.0663 77.7272 72.6351 72.0189 70.0353 67.7364 67.4456 67.9407 77.2664 91.3668 125.0372 179.5043 100.8214 99.6723 93.6154 98.9422 104.2113 104.6304 101.0256 102.8779 107.1302 109.2941 108.8655 109.5753 108.4012 108.5597 109.0475 108.5729 108.5064 110.2602 127.5504 132.9487 104.0684 89.0261 91.9464 90.2697 88.8600 88.7120 89.6128 88.5750 85.0211 81.1742 79.6532 81.8208 81.9370 78.9733
76.2976 78.0450 78.5098 72.1756 72.8672 70.7317 70.3363 70.8265 81.2612 85.4704 116.1839 144.2755 144.7494 134.9060 104.7810 96.8850 92.6404 89.5053 90.4311 89.8028 96.2344 111.1150 112.4452 111.3963 110.2187 108.9202 108.8203 108.6406 108.4545 112.5112 121.4283 137.2655 132.6200 110.7465 86.3345 91.4158 92.5448 92.3215 92.6990 91.7805 89.0267 84.3967 81.3116 78.6393 76.7053 77.7626 77.5818
72.2136 75.3508 77.3666 75.2303 76.2560 71.5538 70.4308 73.8231 87.0340 96.3774 121.4850 160.7455 125.4649 123.4932 110.4190 100.1222 92.3438 89.9413 91.6609 91.7969 97.9166 117.4742 118.0896 115.0319 112.4904 110.9487 109.0306 108.1180 108.6002 113.9617 114.1152 125.2807 129.2523 119.3499 102.7519 84.9817 95.4617 94.7187 93.3269 91.2022 87.5042 83.0418 80.6169 78.6542 75.5561 74.3834 75.3820
